gene_id	lsv_id	lsv_type	mean_psi_per_lsv_junction	stdev_psi_per_lsv_junction	num_junctions	num_exons	junctions_coords	ir_coords
AT1G01020.Araport11.447	AT1G01020.Araport11.447:s:8417-8464	s|1e1.1o2|1e1.2o2	0.8602;0.1398	0.0620;0.0620	2	2	8325-8417;8296-8417	8417-8296
AT4G15610.Araport11.447	AT4G15610.Araport11.447:s:na-8909394	s|1e1.1o1|1e2.1o1	0.9770;0.0230	0.0134;0.0134	2	3	8909394-8910135;8909394-8910420	
AT3G52870.Araport11.447	AT3G52870.Araport11.447:t:19594565-19594652	t|1e1.1o1|1e2.1o1	0.0449;0.9551	0.0176;0.0176	2	3	19594652-19595232;19594652-19594771	
AT1G01020.Araport11.447	AT1G01020.Araport11.447:t:8417-8464	t|1e1.1o1|1e2.1o1	0.3770;0.6230	0.1184;0.1184	2	3	8464-8594;8464-8571	
AT3G04610.Araport11.447	AT3G04610.Araport11.447:s:1253574-na	s|1e1.1o1|1e2.1o1	0.0631;0.9369	0.0375;0.0375	2	3	1253018-1253574;1252403-1253574	
AT1G01040.Araport11.447	AT1G01040.Araport11.447:t:28708-28805	t|1e1.1o1|2e2.1o1	0.8903;0.1097	0.0609;0.0609	2	3	28431-28708;28662-28752	
AT4G15610.Araport11.447	AT4G15610.Araport11.447:t:8910420-na	t|1e1.1o1|1e2.1o1	0.0277;0.9723	0.0150;0.0150	2	3	8909394-8910420;8910261-8910420	
AT5G18500.Araport11.447	AT5G18500.Araport11.447:t:6139240-na	t|1e1.1o1|1e2.1o1	0.8683;0.1317	0.0513;0.0513	2	3	6138670-6139240;6139138-6139240	
AT3G04610.Araport11.447	AT3G04610.Araport11.447:t:1252157-1252403	t|1e1.1o1|1e2.1o2|1e2.2o2	0.8646;0.0466;0.0878	0.0428;0.0273;0.0357	3	3	1252403-1253574;1252403-1252894;1252403-1252841	1253574-1252403
AT4G36730.Araport11.447	AT4G36730.Araport11.447:s:17310758-17310815	s|1e1.1o2|1e1.2o2	0.8766;0.1234	0.0298;0.0298	2	2	17310679-17310758;17310673-17310758	
AT4G33760.Araport11.447	AT4G33760.Araport11.447:s:16191876-16191947	s|1e1.1o2|1e1.2o2	0.5295;0.4705	0.1139;0.1139	2	2	16191762-16191876;16191758-16191876	
AT4G36750.Araport11.447	AT4G36750.Araport11.447:t:17325987-na	t|1e1.1o1|1e2.1o1	0.0468;0.9532	0.0254;0.0254	2	3	17325173-17325987;17325234-17325987	
AT2G19950.Araport11.447	AT2G19950.Araport11.447:s:8618979-8619053	s|1e1.1o2|1e1.2o2	0.1501;0.8499	0.0537;0.0537	2	2	8618894-8618979;8618890-8618979	
AT2G36390.Araport11.447	AT2G36390.Araport11.447:s:na-15264424	s|1e1.1o2|1e1.2o2	0.9174;0.0826	0.0483;0.0483	2	2	15264424-15264877;15264424-15264882	
AT4G36760.Araport11.447	AT4G36760.Araport11.447:s:17328155-17328241	s|1e1.1o2|1e1.2o2	0.9840;0.0160	0.0098;0.0098	2	2	17328241-17328327;17328241-17328333	
AT3G04630.Araport11.447	AT3G04630.Araport11.447:s:1259227-1259461	s|1e1.1o2|1e1.2o2	0.6609;0.3391	0.0901;0.0901	2	2	1259461-1259567;1259461-1259570	
AT4G36790.Araport11.447	AT4G36790.Araport11.447:s:17336685-17336982	s|1e1.1o2|1e1.2o2	0.9174;0.0826	0.0549;0.0549	2	2	17336982-17337055;17336982-17337128	
AT5G18525.Araport11.447	AT5G18525.Araport11.447:s:6150672-6150999	s|1e1.1o2|1e1.2o2	0.7336;0.2664	0.0765;0.0765	2	2	6150555-6150672;6150548-6150672	
AT4G36790.Araport11.447	AT4G36790.Araport11.447:t:17336685-17336982	t|1e1.1o1|1e2.1o1	0.1383;0.8617	0.0793;0.0793	2	3	17336415-17336685;17336460-17336685	
AT2G36390.Araport11.447	AT2G36390.Araport11.447:s:15264877-15265028	s|1e1.1o2|1e1.2o2	0.9639;0.0361	0.0202;0.0202	2	2	15265028-15265127;15265028-15265143	
AT4G36790.Araport11.447	AT4G36790.Araport11.447:s:17337433-17337605	s|1e1.1o1|2e1.1o1	0.2594;0.7406	0.0756;0.0756	2	2	17337511-17337703;17337605-17337703	
AT2G36390.Araport11.447	AT2G36390.Araport11.447:s:15265555-15265653	s|1e1.1o2|1e1.2o2|1e2.1o1	0.1202;0.7694;0.1090	0.0350;0.0410;0.0326	3	3	15265653-15265726;15265653-15265810;15265653-15266323	
AT5G18525.Araport11.447	AT5G18525.Araport11.447:t:6150672-6150999	t|1e1.1o1|1e2.1o1	0.1028;0.8972	0.0636;0.0636	2	3	6150999-6151201;6150999-6151163	
AT1G01100.Araport11.447	AT1G01100.Araport11.447:t:50883-50963	t|1e1.1o1|1e2.1o1	0.9784;0.0216	0.0142;0.0142	2	3	50963-51126;50963-51064	
AT2G36390.Araport11.447	AT2G36390.Araport11.447:t:15266323-15266382	t|1e1.1o1|1e2.1o1	0.1078;0.8922	0.0313;0.0313	2	3	15265653-15266323;15265852-15266323	
